index;team_name_home;season_id;wl_home;total_home;total_away;total_victoire
674;Milwaukee Bucks;2000;W;31;21;52
676;Milwaukee Bucks;2001;W;25;16;41
678;Milwaukee Bucks;2002;W;25;17;42
680;Milwaukee Bucks;2003;W;27;14;41
682;Milwaukee Bucks;2004;W;23;7;30
684;Milwaukee Bucks;2005;W;25;15;40
687;Milwaukee Bucks;2006;W;18;10;28
689;Milwaukee Bucks;2007;W;19;7;26
690;Milwaukee Bucks;2008;W;22;12;34
692;Milwaukee Bucks;2009;W;28;18;46
694;Milwaukee Bucks;2010;W;22;13;35
696;Milwaukee Bucks;2011;W;17;14;31
699;Milwaukee Bucks;2013;W;10;5;15
700;Milwaukee Bucks;2014;W;23;18;41
702;Milwaukee Bucks;2015;W;23;10;33
704;Milwaukee Bucks;2016;W;23;19;42
706;Milwaukee Bucks;2017;W;25;19;44
708;Milwaukee Bucks;2018;W;33;27;60
710;Milwaukee Bucks;2019;W;30;26;56
712;Milwaukee Bucks;2020;W;26;20;46
714;Milwaukee Bucks;2021;W;27;24;51
716;Milwaukee Bucks;2022;W;32;26;58
718;Minnesota Timberwolves;2000;W;30;17;47
720;Minnesota Timberwolves;2001;W;29;21;50
722;Minnesota Timberwolves;2002;W;33;18;51
724;Minnesota Timberwolves;2003;W;31;27;58
726;Minnesota Timberwolves;2004;W;24;20;44
728;Minnesota Timberwolves;2005;W;24;9;33
731;Minnesota Timberwolves;2006;W;20;12;32
733;Minnesota Timberwolves;2007;W;15;7;22
735;Minnesota Timberwolves;2008;W;11;13;24
737;Minnesota Timberwolves;2009;W;10;5;15
739;Minnesota Timberwolves;2010;W;12;5;17
741;Minnesota Timberwolves;2011;W;13;13;26
742;Minnesota Timberwolves;2013;W;24;16;40
745;Minnesota Timberwolves;2014;W;9;7;16
747;Minnesota Timberwolves;2015;W;14;15;29
749;Minnesota Timberwolves;2016;W;20;11;31
750;Minnesota Timberwolves;2017;W;30;17;47
752;Minnesota Timberwolves;2018;W;25;11;36
755;Minnesota Timberwolves;2019;W;8;11;19
757;Minnesota Timberwolves;2020;W;13;10;23
758;Minnesota Timberwolves;2021;W;26;20;46
760;Minnesota Timberwolves;2022;W;22;20;42
763;New Jersey Nets;2000;W;18;8;26
764;New Jersey Nets;2001;W;33;19;52
766;New Jersey Nets;2002;W;33;16;49
768;New Jersey Nets;2003;W;28;19;47
770;New Jersey Nets;2004;W;24;18;42
772;New Jersey Nets;2005;W;29;20;49
774;New Jersey Nets;2006;W;24;17;41
776;New Jersey Nets;2007;W;21;13;34
779;New Jersey Nets;2008;W;19;15;34
781;New Jersey Nets;2009;W;8;4;12
783;New Jersey Nets;2010;W;19;5;24
785;New Jersey Nets;2011;W;9;13;22
786;New Orleans Hornets;2002;W;29;18;47
788;New Orleans Hornets;2003;W;25;16;41
791;New Orleans Hornets;2004;W;11;7;18
792;New Orleans Hornets;2007;W;30;26;56
794;New Orleans Hornets;2008;W;28;21;49
796;New Orleans Hornets;2009;W;24;13;37
798;New Orleans Hornets;2010;W;28;18;46
801;New Orleans Hornets;2011;W;11;10;21
802;New Orleans Pelicans;2013;W;22;12;34
804;New Orleans Pelicans;2014;W;28;17;45
806;New Orleans Pelicans;2015;W;21;9;30
808;New Orleans Pelicans;2016;W;21;13;34
810;New Orleans Pelicans;2017;W;24;24;48
813;New Orleans Pelicans;2018;W;19;14;33
815;New Orleans Pelicans;2019;W;15;15;30
817;New Orleans Pelicans;2020;W;18;13;31
819;New Orleans Pelicans;2021;W;19;17;36
820;New Orleans Pelicans;2022;W;27;15;42
822;New Orleans/Oklahoma City Hornets;2005;W;24;14;38
824;New Orleans/Oklahoma City Hornets;2006;W;24;15;39
826;New York Knicks;2000;W;30;18;48
829;New York Knicks;2001;W;19;11;30
830;New York Knicks;2002;W;24;13;37
832;New York Knicks;2003;W;23;16;39
834;New York Knicks;2004;W;22;11;33
837;New York Knicks;2005;W;15;8;23
839;New York Knicks;2006;W;19;14;33
841;New York Knicks;2007;W;15;8;23
843;New York Knicks;2008;W;20;12;32
845;New York Knicks;2009;W;18;11;29
846;New York Knicks;2010;W;23;19;42
848;New York Knicks;2011;W;22;14;36
851;New York Knicks;2013;W;19;18;37
853;New York Knicks;2014;W;10;7;17
855;New York Knicks;2015;W;18;14;32
857;New York Knicks;2016;W;19;12;31
859;New York Knicks;2017;W;19;10;29
861;New York Knicks;2018;W;9;8;17
863;New York Knicks;2019;W;11;10;21
864;New York Knicks;2020;W;25;16;41
867;New York Knicks;2021;W;17;20;37
868;New York Knicks;2022;W;23;24;47
871;Oklahoma City Thunder;2008;W;15;8;23
872;Oklahoma City Thunder;2009;W;27;23;50
874;Oklahoma City Thunder;2010;W;30;25;55
876;Oklahoma City Thunder;2011;W;26;21;47
878;Oklahoma City Thunder;2013;W;34;25;59
880;Oklahoma City Thunder;2014;W;29;16;45
882;Oklahoma City Thunder;2015;W;32;23;55
884;Oklahoma City Thunder;2016;W;28;19;47
886;Oklahoma City Thunder;2017;W;27;21;48
888;Oklahoma City Thunder;2018;W;27;22;49
890;Oklahoma City Thunder;2019;W;23;21;44
893;Oklahoma City Thunder;2020;W;10;12;22
895;Oklahoma City Thunder;2021;W;12;12;24
896;Oklahoma City Thunder;2022;W;24;16;40
898;Orlando Magic;2000;W;26;17;43
900;Orlando Magic;2001;W;27;17;44
902;Orlando Magic;2002;W;26;16;42
905;Orlando Magic;2003;W;11;10;21
906;Orlando Magic;2004;W;24;12;36
908;Orlando Magic;2005;W;26;10;36
910;Orlando Magic;2006;W;25;15;40
912;Orlando Magic;2007;W;25;27;52
914;Orlando Magic;2008;W;32;27;59
916;Orlando Magic;2009;W;34;25;59
918;Orlando Magic;2010;W;29;23;52
920;Orlando Magic;2011;W;21;16;37
923;Orlando Magic;2013;W;19;4;23
925;Orlando Magic;2014;W;13;12;25
926;Orlando Magic;2015;W;23;12;35
929;Orlando Magic;2016;W;16;13;29
931;Orlando Magic;2017;W;17;8;25
932;Orlando Magic;2018;W;25;17;42
934;Orlando Magic;2019;W;18;15;33
937;Orlando Magic;2020;W;11;10;21
939;Orlando Magic;2021;W;12;10;22
941;Orlando Magic;2022;W;20;14;34
942;Philadelphia 76ers;2000;W;29;27;56
944;Philadelphia 76ers;2001;W;22;21;43
946;Philadelphia 76ers;2002;W;25;23;48
948;Philadelphia 76ers;2003;W;21;12;33
950;Philadelphia 76ers;2004;W;25;18;43
952;Philadelphia 76ers;2005;W;23;15;38
954;Philadelphia 76ers;2006;W;21;14;35
956;Philadelphia 76ers;2007;W;22;18;40
958;Philadelphia 76ers;2008;W;24;17;41
961;Philadelphia 76ers;2009;W;12;15;27
962;Philadelphia 76ers;2010;W;26;15;41
964;Philadelphia 76ers;2011;W;19;16;35
967;Philadelphia 76ers;2013;W;10;9;19
969;Philadelphia 76ers;2014;W;12;6;18
971;Philadelphia 76ers;2015;W;7;3;10
973;Philadelphia 76ers;2016;W;17;11;28
974;Philadelphia 76ers;2017;W;30;22;52
976;Philadelphia 76ers;2018;W;31;20;51
978;Philadelphia 76ers;2019;W;31;12;43
980;Philadelphia 76ers;2020;W;29;20;49
982;Philadelphia 76ers;2021;W;24;27;51
984;Philadelphia 76ers;2022;W;29;25;54
986;Phoenix Suns;2000;W;31;20;51
